,number,value,datetime_start,datetime_complete,duration,params_reg_param,state
77,77,0.6338064597116231,2023-04-08 13:20:06.494953,2023-04-08 13:20:06.666092,0 days 00:00:00.171139,0,COMPLETE
78,78,0.6501219924073938,2023-04-08 13:20:06.667593,2023-04-08 13:20:06.835332,0 days 00:00:00.167739,0,COMPLETE
79,79,0.6348071224789973,2023-04-08 13:20:06.836324,2023-04-08 13:20:07.009224,0 days 00:00:00.172900,0,COMPLETE
80,80,0.6518430921392611,2023-04-08 13:20:07.010731,2023-04-08 13:20:07.181169,0 days 00:00:00.170438,0,COMPLETE
81,81,0.6283288462919631,2023-04-08 13:20:07.182157,2023-04-08 13:20:07.345939,0 days 00:00:00.163782,0,COMPLETE
82,82,0.6307437621103575,2023-04-08 13:20:07.347446,2023-04-08 13:20:07.519972,0 days 00:00:00.172526,0,COMPLETE
83,83,0.6308654423885377,2023-04-08 13:20:07.521495,2023-04-08 13:20:07.694848,0 days 00:00:00.173353,0,COMPLETE
84,84,0.6139354228466849,2023-04-08 13:20:07.695843,2023-04-08 13:20:07.869402,0 days 00:00:00.173559,0,COMPLETE
85,85,0.6081868730940408,2023-04-08 13:20:07.870408,2023-04-08 13:20:08.039566,0 days 00:00:00.169158,0,COMPLETE
86,86,0.6305749156293294,2023-04-08 13:20:08.041074,2023-04-08 13:20:08.216134,0 days 00:00:00.175060,0,COMPLETE
87,87,0.6443712687269234,2023-04-08 13:20:08.217620,2023-04-08 13:20:08.388202,0 days 00:00:00.170582,0,COMPLETE
88,88,0.5,2023-04-08 13:20:08.389218,2023-04-08 13:20:08.578161,0 days 00:00:00.188943,1,COMPLETE
89,89,0.6290227556562813,2023-04-08 13:20:08.579672,2023-04-08 13:20:08.757689,0 days 00:00:00.178017,0,COMPLETE
90,90,0.6338064597116231,2023-04-08 13:20:08.759196,2023-04-08 13:20:08.927971,0 days 00:00:00.168775,0,COMPLETE
91,91,0.6501219924073938,2023-04-08 13:20:08.929478,2023-04-08 13:20:09.103447,0 days 00:00:00.173969,0,COMPLETE
92,92,0.6348071224789973,2023-04-08 13:20:09.104950,2023-04-08 13:20:09.275185,0 days 00:00:00.170235,0,COMPLETE
93,93,0.6518430921392611,2023-04-08 13:20:09.276692,2023-04-08 13:20:09.444474,0 days 00:00:00.167782,0,COMPLETE
94,94,0.6283288462919631,2023-04-08 13:20:09.445977,2023-04-08 13:20:09.611843,0 days 00:00:00.165866,0,COMPLETE
95,95,0.6307437621103575,2023-04-08 13:20:09.613350,2023-04-08 13:20:09.781787,0 days 00:00:00.168437,0,COMPLETE
96,96,0.6308654423885377,2023-04-08 13:20:09.783291,2023-04-08 13:20:09.951055,0 days 00:00:00.167764,0,COMPLETE
97,97,0.6139354228466849,2023-04-08 13:20:09.953055,2023-04-08 13:20:10.127911,0 days 00:00:00.174856,0,COMPLETE
98,98,0.6081868730940408,2023-04-08 13:20:10.129911,2023-04-08 13:20:10.302173,0 days 00:00:00.172262,0,COMPLETE
99,99,0.6305749156293294,2023-04-08 13:20:10.303178,2023-04-08 13:20:10.471711,0 days 00:00:00.168533,0,COMPLETE
