,number,value,datetime_start,datetime_complete,duration,params_alpha,params_binarize,params_fit_prior,state
60,60,0.7312196082495521,2023-04-08 13:13:29.212913,2023-04-08 13:13:29.320303,0 days 00:00:00.107390,0.004938664501553327,0.3018225726265492,False,COMPLETE
61,61,0.6815884205197456,2023-04-08 13:13:29.321827,2023-04-08 13:13:29.448442,0 days 00:00:00.126615,0.014259553819162472,0.7808816563414024,False,COMPLETE
62,62,0.7373204293220205,2023-04-08 13:13:29.450452,2023-04-08 13:13:29.544434,0 days 00:00:00.093982,0.018077279977610973,0.4059656974196414,False,COMPLETE
63,63,0.7379334061227947,2023-04-08 13:13:29.545947,2023-04-08 13:13:29.647452,0 days 00:00:00.101505,0.006737949568333936,0.5230177791683863,False,COMPLETE
64,64,0.6962642490406619,2023-04-08 13:13:29.649947,2023-04-08 13:13:29.752458,0 days 00:00:00.102511,0.0055658347924397375,0.3367225974798146,False,COMPLETE
65,65,0.7108336463599041,2023-04-08 13:13:29.754666,2023-04-08 13:13:29.838400,0 days 00:00:00.083734,0.007480082079957675,0.5038600414052775,True,COMPLETE
66,66,0.6810618998045919,2023-04-08 13:13:29.840398,2023-04-08 13:13:29.941916,0 days 00:00:00.101518,0.012529044065643908,0.1902165832197037,False,COMPLETE
67,67,0.7248873563624494,2023-04-08 13:13:29.943429,2023-04-08 13:13:30.043912,0 days 00:00:00.100483,0.00945467074220918,0.2891387667147278,False,COMPLETE
68,68,0.7129302946045375,2023-04-08 13:13:30.045419,2023-04-08 13:13:30.131851,0 days 00:00:00.086432,0.004624689167326632,0.537101777749839,True,COMPLETE
69,69,0.7127162681141984,2023-04-08 13:13:30.133357,2023-04-08 13:13:30.232867,0 days 00:00:00.099510,0.015971881737116733,0.40185995994582546,False,COMPLETE
70,70,0.7025273588837313,2023-04-08 13:13:30.233861,2023-04-08 13:13:30.331357,0 days 00:00:00.097496,0.010912044693960168,0.9919999857398758,False,COMPLETE
71,71,0.7242490901784829,2023-04-08 13:13:30.333374,2023-04-08 13:13:30.434372,0 days 00:00:00.100998,0.017796855245330655,0.3964055962138303,False,COMPLETE
72,72,0.7349078276812584,2023-04-08 13:13:30.436369,2023-04-08 13:13:30.532863,0 days 00:00:00.096494,0.012506640480030997,0.5227126682651975,False,COMPLETE
73,73,0.677883372792999,2023-04-08 13:13:30.534859,2023-04-08 13:13:30.634373,0 days 00:00:00.099514,0.01695030393512933,0.7537100414697687,False,COMPLETE
74,74,0.7065183430274788,2023-04-08 13:13:30.636367,2023-04-08 13:13:30.719794,0 days 00:00:00.083427,0.007886871248677218,0.408404047152036,False,COMPLETE
75,75,0.7418289144309975,2023-04-08 13:13:30.721294,2023-04-08 13:13:30.805220,0 days 00:00:00.083926,0.005721288418477425,0.28842560953391566,False,COMPLETE
76,76,0.7362255283936732,2023-04-08 13:13:30.806716,2023-04-08 13:13:30.905206,0 days 00:00:00.098490,0.006169488172669733,0.26248313464778805,False,COMPLETE
77,77,0.679148578263036,2023-04-08 13:13:30.907216,2023-04-08 13:13:30.990645,0 days 00:00:00.083429,0.005999281887681364,0.14964273187246643,True,COMPLETE
78,78,0.6842650786685037,2023-04-08 13:13:30.992141,2023-04-08 13:13:31.074563,0 days 00:00:00.082422,0.004016891173128336,0.21135659121390235,False,COMPLETE
79,79,0.7016534287653406,2023-04-08 13:13:31.076570,2023-04-08 13:13:31.172552,0 days 00:00:00.095982,0.0032578289550927813,0.3100226489378316,False,COMPLETE
80,80,0.7494157188182102,2023-04-08 13:13:31.174065,2023-04-08 13:13:31.264511,0 days 00:00:00.090446,0.009116759703134992,0.5528332226542757,False,COMPLETE
81,81,0.7226099195301707,2023-04-08 13:13:31.266005,2023-04-08 13:13:31.366020,0 days 00:00:00.100015,0.008648883015511205,0.5841072903833402,False,COMPLETE
82,82,0.7119144336710598,2023-04-08 13:13:31.367527,2023-04-08 13:13:31.463503,0 days 00:00:00.095976,0.0066127431202608064,0.4941738270363627,False,COMPLETE
83,83,0.7140490887970962,2023-04-08 13:13:31.465010,2023-04-08 13:13:31.561491,0 days 00:00:00.096481,0.005101845710555714,0.7774672219372565,False,COMPLETE
84,84,0.7250884647230987,2023-04-08 13:13:31.563488,2023-04-08 13:13:31.662998,0 days 00:00:00.099510,0.013811418930301552,0.33918005936277723,False,COMPLETE
85,85,0.7215147207278759,2023-04-08 13:13:31.663990,2023-04-08 13:13:31.746917,0 days 00:00:00.082927,0.01012540230196547,0.4606207318754361,False,COMPLETE
86,86,0.7291056389340793,2023-04-08 13:13:31.748430,2023-04-08 13:13:31.849930,0 days 00:00:00.101500,0.008683492512321745,0.26154280523996254,False,COMPLETE
87,87,0.723131221623276,2023-04-08 13:13:31.851946,2023-04-08 13:13:31.950431,0 days 00:00:00.098485,0.006843277311045565,0.5955932468871621,True,COMPLETE
88,88,0.7054560223001018,2023-04-08 13:13:31.952447,2023-04-08 13:13:32.052443,0 days 00:00:00.099996,0.010681030249176908,0.8534658431048099,False,COMPLETE
89,89,0.6932309610473821,2023-04-08 13:13:32.054436,2023-04-08 13:13:32.151421,0 days 00:00:00.096985,0.0038209856347487512,0.21963704301722917,False,COMPLETE
90,90,0.6981881490577823,2023-04-08 13:13:32.153430,2023-04-08 13:13:32.251935,0 days 00:00:00.098505,0.021649910955291306,0.34889674912033924,False,COMPLETE
91,91,0.7015302587890047,2023-04-08 13:13:32.253936,2023-04-08 13:13:32.338881,0 days 00:00:00.084945,0.015091666541258769,0.43873207308390333,False,COMPLETE
92,92,0.7170741023897805,2023-04-08 13:13:32.340866,2023-04-08 13:13:32.441385,0 days 00:00:00.100519,0.029154175107456066,0.6900334634435268,False,COMPLETE
93,93,0.7278416983031176,2023-04-08 13:13:32.442891,2023-04-08 13:13:32.527810,0 days 00:00:00.084919,0.012604189218307428,0.3860351268806968,False,COMPLETE
94,94,0.7226099195301707,2023-04-08 13:13:32.529305,2023-04-08 13:13:32.629807,0 days 00:00:00.100502,0.018191068547816495,0.5921729935132034,False,COMPLETE
95,95,0.7129849547415807,2023-04-08 13:13:32.631313,2023-04-08 13:13:32.730822,0 days 00:00:00.099509,0.008610400954900649,0.4523324538205676,False,COMPLETE
96,96,0.7503932191327527,2023-04-08 13:13:32.732820,2023-04-08 13:13:32.835330,0 days 00:00:00.102510,0.010215493819512176,0.28784854414109584,True,COMPLETE
97,97,0.7175338422146386,2023-04-08 13:13:32.837342,2023-04-08 13:13:32.921281,0 days 00:00:00.083939,0.00677556385179052,0.29084398188680066,True,COMPLETE
98,98,0.6872805214659915,2023-04-08 13:13:32.922858,2023-04-08 13:13:33.009714,0 days 00:00:00.086856,0.010743126485948103,0.1900210331120707,True,COMPLETE
99,99,0.6877080755186191,2023-04-08 13:13:33.011220,2023-04-08 13:13:33.111219,0 days 00:00:00.099999,0.004701907645563812,0.245947630793419,True,COMPLETE
