,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,state
44,44,0.5,2023-04-08 13:12:44.938145,2023-04-08 13:12:45.639139,0 days 00:00:00.700994,0.004823102568391072,2.576885689921124,0.2361195773805486,sigmoid,COMPLETE
45,45,0.7337092392823842,2023-04-08 13:12:45.640647,2023-04-08 13:12:46.361744,0 days 00:00:00.721097,0.08134460273902315,5.218170388575158,0.07842139964774993,rbf,COMPLETE
46,46,0.5,2023-04-08 13:12:46.363753,2023-04-08 13:12:47.217009,0 days 00:00:00.853256,0.013738572544109142,9.844495540907804,0.025829444942396133,rbf,COMPLETE
47,47,0.7063164265292547,2023-04-08 13:12:47.219520,2023-04-08 13:12:47.966262,0 days 00:00:00.746742,0.09113291196153886,7.8950295746671815,0.29333389219841,rbf,COMPLETE
48,48,0.6011761916297625,2023-04-08 13:12:47.968255,2023-04-08 13:12:48.646152,0 days 00:00:00.677897,0.24145958959981925,11.417384227210375,0.0597122609785114,sigmoid,COMPLETE
49,49,0.5,2023-04-08 13:12:48.647659,2023-04-08 13:12:49.183831,0 days 00:00:00.536172,0.00019129457918545868,2.0060736076930743,0.1061071981104791,rbf,COMPLETE
50,50,0.5709870576886902,2023-04-08 13:12:49.185325,2023-04-08 13:12:50.088342,0 days 00:00:00.903017,0.022321330568716678,5.487873099434622,0.017761909573013657,rbf,COMPLETE
51,51,0.7083328086485208,2023-04-08 13:12:50.089836,2023-04-08 13:12:50.841595,0 days 00:00:00.751759,0.051097576685823404,4.945816760157855,0.11873689285637448,rbf,COMPLETE
52,52,0.7295982875303745,2023-04-08 13:12:50.843103,2023-04-08 13:12:51.619981,0 days 00:00:00.776878,0.3907597033877382,6.589562051332251,0.044012769670449,rbf,COMPLETE
53,53,0.7440128944521678,2023-04-08 13:12:51.621488,2023-04-08 13:12:52.327005,0 days 00:00:00.705517,0.5255568355660346,6.032545896300665,0.040289264601721456,rbf,COMPLETE
54,54,0.7020335116109602,2023-04-08 13:12:52.328512,2023-04-08 13:12:52.967700,0 days 00:00:00.639188,0.49484930473682254,3.3385146081989316,0.008919661684209665,rbf,COMPLETE
55,55,0.724098120601573,2023-04-08 13:12:52.969190,2023-04-08 13:12:53.577742,0 days 00:00:00.608552,1.5897003753393502,3.947549459233711,0.03637177907998254,rbf,COMPLETE
56,56,0.7238013985873367,2023-04-08 13:12:53.579440,2023-04-08 13:12:54.352589,0 days 00:00:00.773149,0.4286610838909403,7.073172046520505,0.017949280506092298,rbf,COMPLETE
57,57,0.7328355245235543,2023-04-08 13:12:54.355101,2023-04-08 13:12:55.101339,0 days 00:00:00.746238,0.1262538787322936,5.9130183780686085,0.03918603321241633,rbf,COMPLETE
58,58,0.7436804811670236,2023-04-08 13:12:55.102846,2023-04-08 13:12:55.742536,0 days 00:00:00.639690,2.0352618877622497,5.9058555808613376,0.059470856864225256,rbf,COMPLETE
59,59,0.7337317145289453,2023-04-08 13:12:55.744529,2023-04-08 13:12:56.475172,0 days 00:00:00.730643,2.0186104593668186,5.81263553665357,0.07301288182188743,rbf,COMPLETE
60,60,0.49971590909090907,2023-04-08 13:12:56.477181,2023-04-08 13:12:57.347038,0 days 00:00:00.869857,2.073127269817857,5.342992794235892,0.3388027511195319,sigmoid,COMPLETE
61,61,0.712725954990525,2023-04-08 13:12:57.348527,2023-04-08 13:12:58.017881,0 days 00:00:00.669354,0.768005537599934,6.0306387578962575,0.21967143624251956,rbf,COMPLETE
62,62,0.7191211246053738,2023-04-08 13:12:58.019891,2023-04-08 13:12:58.701774,0 days 00:00:00.681883,6.213722262062891,7.539315354077539,0.06510202735740968,rbf,COMPLETE
63,63,0.737777500972246,2023-04-08 13:12:58.703784,2023-04-08 13:12:59.435951,0 days 00:00:00.732167,0.15909249723443075,6.022513370194784,0.07726227237374488,rbf,COMPLETE
64,64,0.7245914616385194,2023-04-08 13:12:59.437458,2023-04-08 13:13:00.067601,0 days 00:00:00.630143,2.4807328456021485,6.771878320108909,0.08476057233546966,rbf,COMPLETE
65,65,0.6122405436913713,2023-04-08 13:13:00.069595,2023-04-08 13:13:01.001256,0 days 00:00:00.931661,2.538206965797116,3.9712833349857553,1.079315532522595,rbf,COMPLETE
66,66,0.7401047050037761,2023-04-08 13:13:01.002258,2023-04-08 13:13:01.552004,0 days 00:00:00.549746,1.092468983726117,3.338861256834595,0.15852710452515778,rbf,COMPLETE
67,67,0.7102645032499719,2023-04-08 13:13:01.553512,2023-04-08 13:13:02.105263,0 days 00:00:00.551751,1.0007042510499742,3.1502044881559303,0.1406058773798115,rbf,COMPLETE
68,68,0.689323939661833,2023-04-08 13:13:02.107264,2023-04-08 13:13:02.745454,0 days 00:00:00.638190,4.194515872645757,4.514575857017338,0.3598948115934856,rbf,COMPLETE
69,69,0.6851145678771328,2023-04-08 13:13:02.746963,2023-04-08 13:13:03.315798,0 days 00:00:00.568835,16.541981069948882,3.698810914376016,0.21048759943983966,rbf,COMPLETE
70,70,0.7343385237914137,2023-04-08 13:13:03.317305,2023-04-08 13:13:04.056493,0 days 00:00:00.739188,0.24545300507681583,6.322197153554003,0.02249392231043063,rbf,COMPLETE
71,71,0.748365266031908,2023-04-08 13:13:04.058000,2023-04-08 13:13:04.782596,0 days 00:00:00.724596,0.6531387063749475,6.180358482627617,0.02046779947214654,rbf,COMPLETE
72,72,0.744287574300648,2023-04-08 13:13:04.784605,2023-04-08 13:13:05.561495,0 days 00:00:00.776890,0.621992103591546,7.088293935126113,0.029377957654476834,rbf,COMPLETE
73,73,0.7125883973502944,2023-04-08 13:13:05.563489,2023-04-08 13:13:06.279560,0 days 00:00:00.716071,0.6399406925870957,7.068453885538451,0.027801107923502908,rbf,COMPLETE
74,74,0.7110090668047594,2023-04-08 13:13:06.281569,2023-04-08 13:13:07.015228,0 days 00:00:00.733659,1.0521935383452736,8.368188714835785,0.043810506337503385,rbf,COMPLETE
