,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
41,41,0.7728631662882581,2023-04-10 20:17:37.827482,2023-04-10 20:18:09.195035,0 days 00:00:31.367553,0.001451261472095012,dart,0.4706244316244067,0.05489774099114006,0.0002756528156185697,depthwise,0.07982892796492788,2,7,forest,4.0406468466745247e-05,weighted,0.0017894830166255082,0.4434218143922539,COMPLETE
42,42,0.7422151826732797,2023-04-10 20:18:09.198035,2023-04-10 20:18:39.019462,0 days 00:00:29.821427,0.0005451759782991451,dart,0.41893866011426933,0.0807064034064511,0.00021381116446588856,depthwise,0.05297495661394891,2,7,forest,0.0008894188236200654,weighted,0.0011587027428574845,0.43133932566405864,COMPLETE
43,43,0.7285893357575173,2023-04-10 20:18:39.021462,2023-04-10 20:19:08.070827,0 days 00:00:29.049365,0.010223225936980287,dart,0.5179194253105183,0.16477585425885546,8.365413236609345e-05,depthwise,0.011166325015176625,1,6,forest,7.127035272237805e-05,weighted,0.030059721307892088,0.5339589291785907,COMPLETE
44,44,0.7100179792961021,2023-04-10 20:19:08.073827,2023-04-10 20:19:35.957097,0 days 00:00:27.883270,0.0038037341265821298,dart,0.3594700237608445,0.005011526116845612,1.8472113253022016e-06,depthwise,0.3597274669363086,7,8,forest,6.778215201773838e-06,weighted,0.004890925617535643,0.3535650057703325,COMPLETE
45,45,0.7299107505219513,2023-04-10 20:19:35.960097,2023-04-10 20:20:05.055466,0 days 00:00:29.095369,0.00957409643245026,dart,0.4742474954504818,0.028218811443022317,2.9877865440225406e-07,depthwise,0.1286809325948115,2,7,forest,0.000720217269503126,uniform,0.0007998864053385985,0.4895655050380618,COMPLETE
46,46,0.7204318564499025,2023-04-10 20:20:05.058466,2023-04-10 20:20:06.564588,0 days 00:00:01.506122,0.000856059995151649,gbtree,0.5464183090113612,0.5147487660984358,2.146717417711596e-05,lossguide,0.0967186449785975,3,9,,,,,0.41275691921664664,COMPLETE
47,47,0.7525602079123085,2023-04-10 20:20:06.567588,2023-04-10 20:20:34.134834,0 days 00:00:27.567246,0.00023621167009360238,dart,0.4022936404488079,0.06553767623128519,6.938322376923454e-06,depthwise,0.43892387519782533,9,6,forest,0.0042993484982142465,weighted,0.04611935842424071,0.4601211862980554,COMPLETE
48,48,0.6934115803654739,2023-04-10 20:20:34.137832,2023-04-10 20:21:03.251205,0 days 00:00:29.113373,0.002326124885444872,dart,0.33365911757273403,0.014218184940844598,9.617111435088737e-08,depthwise,0.03998494519444434,6,8,tree,0.00031968014718641543,uniform,0.014355255137457725,0.5074415811334628,COMPLETE
49,49,0.7457868949844795,2023-04-10 20:21:03.254204,2023-04-10 20:21:04.874334,0 days 00:00:01.620130,0.00015751617523824003,gbtree,0.4419126697832481,0.43918765545163874,5.8080932439308355e-05,lossguide,0.0005598198296755131,5,7,,,,,0.6042625968068744,COMPLETE
50,50,0.7697654612929254,2023-04-10 20:21:04.877335,2023-04-10 20:21:30.120390,0 days 00:00:25.243055,0.0005090647726173506,dart,0.6156115304087594,0.13175837062042126,1.9020979518365868e-06,depthwise,0.006850873491484573,1,5,tree,0.00656849324138552,weighted,0.003112627878876573,0.378144391015047,COMPLETE
