,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_n_estimators,state
68,68,0.7124826466677724,2023-04-08 13:17:51.964020,2023-04-08 13:17:56.232805,0 days 00:00:04.268785,True,6.033874886133685,entropy,16,20,14,167,COMPLETE
69,69,0.7008384584157988,2023-04-08 13:17:56.234814,2023-04-08 13:18:00.132249,0 days 00:00:03.897435,True,3.5884221303313715,log_loss,25,28,13,130,COMPLETE
70,70,0.712031917964792,2023-04-08 13:18:00.134269,2023-04-08 13:18:05.634686,0 days 00:00:05.500417,False,6.556838266228457,entropy,11,25,11,189,COMPLETE
71,71,0.736460892384064,2023-04-08 13:18:05.636696,2023-04-08 13:18:09.558265,0 days 00:00:03.921569,True,5.572164345141261,entropy,22,20,15,147,COMPLETE
72,72,0.7068734673996471,2023-04-08 13:18:09.559757,2023-04-08 13:18:13.477310,0 days 00:00:03.917553,True,5.525332734413843,entropy,22,20,15,149,COMPLETE
73,73,0.7263881913876139,2023-04-08 13:18:13.479822,2023-04-08 13:18:18.228499,0 days 00:00:04.748677,True,4.537339483928306,entropy,20,22,14,174,COMPLETE
74,74,0.7342488978240576,2023-04-08 13:18:18.229990,2023-04-08 13:18:21.697297,0 days 00:00:03.467307,True,5.075055318462216,entropy,23,18,12,139,COMPLETE
75,75,0.7067844662720436,2023-04-08 13:18:21.699289,2023-04-08 13:18:25.568097,0 days 00:00:03.868808,True,7.0883580343201995,gini,27,23,13,153,COMPLETE
76,76,0.7260288303897136,2023-04-08 13:18:25.570107,2023-04-08 13:18:26.366076,0 days 00:00:00.795969,True,5.791343735870933,entropy,21,21,15,25,COMPLETE
77,77,0.7212589324548934,2023-04-08 13:18:26.368588,2023-04-08 13:18:28.451959,0 days 00:00:02.083371,True,6.461627619488193,entropy,25,19,16,76,COMPLETE
78,78,0.7037218182595574,2023-04-08 13:18:28.453969,2023-04-08 13:18:29.498178,0 days 00:00:01.044209,True,4.197046269018044,gini,17,2,14,58,COMPLETE
79,79,0.7295787307903584,2023-04-08 13:18:29.500187,2023-04-08 13:18:31.742869,0 days 00:00:02.242682,True,7.827114713837135,entropy,19,6,10,122,COMPLETE
80,80,0.7239117155294795,2023-04-08 13:18:31.744879,2023-04-08 13:18:34.196120,0 days 00:00:02.451241,False,5.664526436553819,gini,14,17,12,100,COMPLETE
81,81,0.7152878888190961,2023-04-08 13:18:34.198129,2023-04-08 13:18:43.794980,0 days 00:00:09.596851,True,4.92684911223483,entropy,22,16,19,367,COMPLETE
82,82,0.7062028662463912,2023-04-08 13:18:43.796472,2023-04-08 13:18:52.786823,0 days 00:00:08.990351,True,6.7871804701841265,entropy,31,20,16,343,COMPLETE
83,83,0.7084849899860796,2023-04-08 13:18:52.788325,2023-04-08 13:18:58.855564,0 days 00:00:06.067239,True,7.449963360210955,entropy,3,18,15,308,COMPLETE
84,84,0.7256819262521039,2023-04-08 13:18:58.857572,2023-04-08 13:19:03.509268,0 days 00:00:04.651696,True,6.193199089564718,entropy,20,4,13,270,COMPLETE
85,85,0.709294160090683,2023-04-08 13:19:03.510774,2023-04-08 13:19:07.698672,0 days 00:00:04.187898,True,5.348597076674786,gini,24,15,17,190,COMPLETE
86,86,0.7223953054698861,2023-04-08 13:19:07.700165,2023-04-08 13:19:12.368442,0 days 00:00:04.668277,True,4.529233696797071,entropy,28,13,14,214,COMPLETE
87,87,0.7329916272570587,2023-04-08 13:19:12.370452,2023-04-08 13:19:14.401597,0 days 00:00:02.031145,True,7.042150596073499,log_loss,23,19,5,92,COMPLETE
88,88,0.7090775364089682,2023-04-08 13:19:14.403606,2023-04-08 13:19:19.323119,0 days 00:00:04.919513,True,6.354136870285239,entropy,21,26,15,168,COMPLETE
89,89,0.7036034028458087,2023-04-08 13:19:19.324627,2023-04-08 13:19:21.566261,0 days 00:00:02.241634,True,3.201818205798524,gini,29,8,2,138,COMPLETE
90,90,0.7128572963737904,2023-04-08 13:19:21.568255,2023-04-08 13:19:26.331020,0 days 00:00:04.762765,True,3.9122917895631315,entropy,18,21,16,177,COMPLETE
91,91,0.7219148296334056,2023-04-08 13:19:26.333029,2023-04-08 13:19:29.611378,0 days 00:00:03.278349,True,4.8825220379171945,entropy,22,16,12,140,COMPLETE
92,92,0.7324044479826768,2023-04-08 13:19:29.613386,2023-04-08 13:19:32.974130,0 days 00:00:03.360744,True,5.929105509326991,entropy,23,18,13,132,COMPLETE
93,93,0.7371116543978852,2023-04-08 13:19:32.976137,2023-04-08 13:19:35.809790,0 days 00:00:02.833653,True,5.366723176696878,entropy,23,17,11,117,COMPLETE
94,94,0.7048580717625288,2023-04-08 13:19:35.811779,2023-04-08 13:19:38.283117,0 days 00:00:02.471338,True,5.568916862934979,entropy,24,14,8,113,COMPLETE
95,95,0.7024895890760913,2023-04-08 13:19:38.284608,2023-04-08 13:19:41.365974,0 days 00:00:03.081366,True,3.7608609963021156,entropy,6,17,3,159,COMPLETE
96,96,0.7094459134749477,2023-04-08 13:19:41.367479,2023-04-08 13:19:44.674973,0 days 00:00:03.307494,True,4.403759106890095,gini,31,2,14,203,COMPLETE
97,97,0.7251526070598077,2023-04-08 13:19:44.676479,2023-04-08 13:19:47.289007,0 days 00:00:02.612528,True,5.093897004689539,entropy,19,15,6,123,COMPLETE
98,98,0.6852176194558999,2023-04-08 13:19:47.291016,2023-04-08 13:19:50.556816,0 days 00:00:03.265800,False,8.089183569589716,entropy,26,30,16,87,COMPLETE
99,99,0.7202696290258082,2023-04-08 13:19:50.558811,2023-04-08 13:19:53.281906,0 days 00:00:02.723095,True,6.523647140061035,gini,20,23,11,109,COMPLETE
