,number,value,datetime_start,datetime_complete,duration,params_leaf_size,params_n_neighbors,params_p,state
77,77,0.6661612762442488,2023-04-08 13:12:05.624488,2023-04-08 13:12:05.805391,0 days 00:00:00.180903,47,4,2,COMPLETE
78,78,0.629926547586682,2023-04-08 13:12:05.806889,2023-04-08 13:12:06.009910,0 days 00:00:00.203021,40,5,2,COMPLETE
79,79,0.6461250727426757,2023-04-08 13:12:06.011405,2023-04-08 13:12:06.204369,0 days 00:00:00.192964,39,3,2,COMPLETE
80,80,0.6526532926871015,2023-04-08 13:12:06.206391,2023-04-08 13:12:06.373725,0 days 00:00:00.167334,33,7,2,COMPLETE
81,81,0.6851458829588968,2023-04-08 13:12:06.374717,2023-04-08 13:12:06.547089,0 days 00:00:00.172372,42,2,2,COMPLETE
82,82,0.6880342895877739,2023-04-08 13:12:06.548081,2023-04-08 13:12:06.738531,0 days 00:00:00.190450,44,2,2,COMPLETE
83,83,0.6768165558403907,2023-04-08 13:12:06.740038,2023-04-08 13:12:06.922448,0 days 00:00:00.182410,46,4,2,COMPLETE
84,84,0.6644644285108915,2023-04-08 13:12:06.924961,2023-04-08 13:12:07.106881,0 days 00:00:00.181920,50,3,2,COMPLETE
85,85,0.7185280587073173,2023-04-08 13:12:07.108878,2023-04-08 13:12:07.290807,0 days 00:00:00.181929,42,2,2,COMPLETE
86,86,0.5985574949792735,2023-04-08 13:12:07.292293,2023-04-08 13:12:08.031985,0 days 00:00:00.739692,41,23,2,COMPLETE
87,87,0.6452421026343333,2023-04-08 13:12:08.038517,2023-04-08 13:12:08.493301,0 days 00:00:00.454784,11,5,2,COMPLETE
88,88,0.6391734340487959,2023-04-08 13:12:08.495291,2023-04-08 13:12:08.678724,0 days 00:00:00.183433,53,12,2,COMPLETE
89,89,0.6376548647418274,2023-04-08 13:12:08.680215,2023-04-08 13:12:08.872183,0 days 00:00:00.191968,49,3,2,COMPLETE
90,90,0.6661612762442488,2023-04-08 13:12:08.873176,2023-04-08 13:12:09.038010,0 days 00:00:00.164834,25,4,2,COMPLETE
91,91,0.694639303273888,2023-04-08 13:12:09.039504,2023-04-08 13:12:09.221413,0 days 00:00:00.181909,43,2,2,COMPLETE
92,92,0.7099957400164072,2023-04-08 13:12:09.223421,2023-04-08 13:12:09.407854,0 days 00:00:00.184433,36,2,2,COMPLETE
93,93,0.6557441896723973,2023-04-08 13:12:09.409349,2023-04-08 13:12:09.611357,0 days 00:00:00.202008,36,3,2,COMPLETE
94,94,0.6851458829588968,2023-04-08 13:12:09.612863,2023-04-08 13:12:09.802321,0 days 00:00:00.189458,39,2,2,COMPLETE
95,95,0.6618758386003776,2023-04-08 13:12:09.803820,2023-04-08 13:12:09.969153,0 days 00:00:00.165333,38,6,2,COMPLETE
96,96,0.6929479907396761,2023-04-08 13:12:09.970647,2023-04-08 13:12:10.189740,0 days 00:00:00.219093,34,2,1,COMPLETE
97,97,0.6644644285108915,2023-04-08 13:12:10.191386,2023-04-08 13:12:10.358241,0 days 00:00:00.166855,36,3,2,COMPLETE
98,98,0.684278693477458,2023-04-08 13:12:10.359754,2023-04-08 13:12:10.530596,0 days 00:00:00.170842,46,4,2,COMPLETE
99,99,0.6348842806495294,2023-04-08 13:12:10.532103,2023-04-08 13:12:10.718532,0 days 00:00:00.186429,42,5,2,COMPLETE
