,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
29,29,0.5859272981365921,2023-04-11 16:50:55.828480,2023-04-11 16:51:25.634953,0 days 00:00:29.806473,2.6089338026203404e-06,dart,0.9460108278852533,0.006102049819701872,0.0010255271640479792,depthwise,0.0007403827324947941,7,10,forest,0.026510997572564608,weighted,0.20851158803819272,0.8138318565823738,COMPLETE
30,30,0.5908632838173361,2023-04-11 16:51:25.637954,2023-04-11 16:51:49.677880,0 days 00:00:24.039926,2.8305461250553693e-05,dart,0.6559139315643917,0.9461389356965776,3.1435036437908605e-06,lossguide,0.00011781392651699838,3,9,forest,0.8851296216772031,weighted,0.1755321719930101,0.9346361169785089,COMPLETE
31,31,0.6092399143142224,2023-04-11 16:51:49.679880,2023-04-11 16:52:20.181324,0 days 00:00:30.501444,1.0282099846297106e-05,dart,0.859253940166544,0.05373115742603598,0.00011094155989776337,lossguide,0.0001791247120134032,6,7,tree,0.004768530359513241,uniform,0.0038357316965505067,0.9995607358993536,COMPLETE
32,32,0.6044081256647873,2023-04-11 16:52:20.184325,2023-04-11 16:52:51.720852,0 days 00:00:31.536527,0.00010115827884685123,dart,0.8016273377262251,0.2629364834838708,0.00022210537633908755,lossguide,1.7439408070599626e-06,8,4,tree,0.1524199066074115,uniform,0.9451529084406153,0.9394881935578868,COMPLETE
33,33,0.618738900634903,2023-04-11 16:52:51.723853,2023-04-11 16:53:25.337743,0 days 00:00:33.613890,1.603598036482618e-05,dart,0.8750829977227023,0.04909594883094985,3.9687608176051717e-05,lossguide,1.5921189822799283e-05,5,10,tree,0.038214697050146726,uniform,0.0011875003809323763,0.8814597215084384,COMPLETE
34,34,0.6034360196909352,2023-04-11 16:53:25.341746,2023-04-11 16:53:50.801251,0 days 00:00:25.459505,2.4736913383862927e-05,dart,0.9244058788949776,0.2876532183474557,2.102060121141589e-05,lossguide,1.2506678606529243e-05,4,10,tree,0.2473780381380335,uniform,0.0006699630889394341,0.8729574612586615,COMPLETE
35,35,0.6062543600547978,2023-04-11 16:53:50.805251,2023-04-11 16:54:23.555997,0 days 00:00:32.750746,3.8467487096743606e-06,dart,0.8938926034800224,0.09482217107952869,5.91871643114627e-06,depthwise,4.708818442443602e-05,3,9,tree,0.04283350460093585,uniform,0.02785091882795982,0.8211670265342476,COMPLETE
36,36,0.6204064054400427,2023-04-11 16:54:23.559998,2023-04-11 16:54:25.539155,0 days 00:00:01.979157,1.653252926405965e-06,gbtree,0.7428810666298119,0.32769069662548345,5.205720977378271e-05,lossguide,7.695641632539195e-07,1,10,,,,,0.7672167492183193,COMPLETE
37,37,0.623537988305024,2023-04-11 16:54:25.542156,2023-04-11 16:54:27.611341,0 days 00:00:02.069185,7.74244508939413e-07,gbtree,0.7603625814937989,0.9920502597845537,0.000686571326027875,depthwise,8.607880975131763e-07,1,8,,,,,0.7891785481040299,COMPLETE
38,38,0.6194248449525028,2023-04-11 16:54:27.614343,2023-04-11 16:54:29.795760,0 days 00:00:02.181417,7.166547164256998e-07,gbtree,0.7348974844291486,0.9414355403842065,0.0018039282399588217,depthwise,1.3466230045840194e-07,1,8,,,,,0.7586162439416175,COMPLETE
