,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_n_estimators,state
61,61,0.7096770650896567,2023-04-11 15:36:16.328546,2023-04-11 15:36:29.397560,0 days 00:00:13.069014,True,8.381472551454024,gini,32,9,18,265,COMPLETE
62,62,0.6872966497460657,2023-04-11 15:36:29.398560,2023-04-11 15:36:40.531671,0 days 00:00:11.133111,True,9.983019023508662,gini,32,9,18,241,COMPLETE
63,63,0.6995460525108502,2023-04-11 15:36:40.533671,2023-04-11 15:36:52.825099,0 days 00:00:12.291428,True,8.645607606540443,gini,31,9,20,261,COMPLETE
64,64,0.7002522527175499,2023-04-11 15:36:52.828082,2023-04-11 15:37:05.862369,0 days 00:00:13.034287,True,6.54912573314843,gini,29,6,17,289,COMPLETE
65,65,0.6728288081203798,2023-04-11 15:37:05.866351,2023-04-11 15:37:14.908522,0 days 00:00:09.042171,True,7.9235334227938825,gini,31,3,18,258,COMPLETE
66,66,0.706818116537874,2023-04-11 15:37:14.911505,2023-04-11 15:37:28.813441,0 days 00:00:13.901936,True,9.075892106263968,gini,32,10,19,277,COMPLETE
67,67,0.684074533960609,2023-04-11 15:37:28.815440,2023-04-11 15:37:43.774532,0 days 00:00:14.959092,True,8.883493459411678,gini,27,10,17,277,COMPLETE
68,68,0.7118694158448722,2023-04-11 15:37:43.777532,2023-04-11 15:37:54.786416,0 days 00:00:11.008884,True,9.579625492650244,gini,30,11,16,209,COMPLETE
69,69,0.6227077101545357,2023-04-11 15:37:54.788415,2023-04-11 15:38:04.333180,0 days 00:00:09.544765,True,9.360089557887733,log_loss,30,8,3,238,COMPLETE
70,70,0.6908510742370503,2023-04-11 15:38:04.335180,2023-04-11 15:38:14.693357,0 days 00:00:10.358177,True,10.91951876643863,gini,29,11,16,203,COMPLETE
71,71,0.6954997716341589,2023-04-11 15:38:14.696355,2023-04-11 15:38:29.553880,0 days 00:00:14.857525,True,7.192100492361937,gini,28,14,19,254,COMPLETE
72,72,0.6874866222953072,2023-04-11 15:38:29.557880,2023-04-11 15:38:42.286901,0 days 00:00:12.729021,True,10.213316642426673,gini,31,11,14,268,COMPLETE
73,73,0.695831339352114,2023-04-11 15:38:42.288901,2023-04-11 15:38:55.089930,0 days 00:00:12.801029,True,9.598237118526136,gini,32,13,18,229,COMPLETE
74,74,0.704277376043015,2023-04-11 15:38:55.091940,2023-04-11 15:39:11.164455,0 days 00:00:16.072515,True,8.403634650113887,gini,30,9,15,331,COMPLETE
75,75,0.6901764756287542,2023-04-11 15:39:11.166451,2023-04-11 15:39:22.094428,0 days 00:00:10.927977,True,9.119914336420726,gini,8,12,17,212,COMPLETE
76,76,0.6976581513632123,2023-04-11 15:39:22.096425,2023-04-11 15:39:35.565503,0 days 00:00:13.469078,True,7.476846968666605,log_loss,28,10,17,278,COMPLETE
77,77,0.7026930977120094,2023-04-11 15:39:35.568503,2023-04-11 15:39:44.238218,0 days 00:00:08.669715,True,9.796413313378945,gini,15,14,18,161,COMPLETE
