,number,value,datetime_start,datetime_complete,duration,params_leaf_size,params_n_neighbors,params_p,state
75,75,0.5687109768118518,2023-04-11 15:18:06.070873,2023-04-11 15:18:06.813931,0 days 00:00:00.743058,36,7,1,COMPLETE
76,76,0.568376676864492,2023-04-11 15:18:06.816933,2023-04-11 15:18:07.558993,0 days 00:00:00.742060,28,5,1,COMPLETE
77,77,0.5849933998836081,2023-04-11 15:18:07.561994,2023-04-11 15:18:08.322560,0 days 00:00:00.760566,26,3,1,COMPLETE
78,78,0.5590524015419123,2023-04-11 15:18:08.326562,2023-04-11 15:18:09.034617,0 days 00:00:00.708055,21,16,2,COMPLETE
79,79,0.5660908922362384,2023-04-11 15:18:09.037617,2023-04-11 15:18:09.842681,0 days 00:00:00.805064,58,3,1,COMPLETE
80,80,0.5667322474131067,2023-04-11 15:18:09.845683,2023-04-11 15:18:10.692750,0 days 00:00:00.847067,33,7,1,COMPLETE
81,81,0.5928838709545007,2023-04-11 15:18:10.695752,2023-04-11 15:18:11.465813,0 days 00:00:00.770061,32,4,1,COMPLETE
82,82,0.5751393297381138,2023-04-11 15:18:11.468813,2023-04-11 15:18:12.237873,0 days 00:00:00.769060,38,5,1,COMPLETE
83,83,0.6156676521355579,2023-04-11 15:18:12.240874,2023-04-11 15:18:12.975933,0 days 00:00:00.735059,34,4,1,COMPLETE
84,84,0.6029994191374436,2023-04-11 15:18:12.978933,2023-04-11 15:18:13.703991,0 days 00:00:00.725058,34,2,1,COMPLETE
85,85,0.5740468515710272,2023-04-11 15:18:13.706992,2023-04-11 15:18:14.459053,0 days 00:00:00.752061,29,5,1,COMPLETE
86,86,0.580450227281234,2023-04-11 15:18:14.463054,2023-04-11 15:18:15.193110,0 days 00:00:00.730056,36,3,1,COMPLETE
87,87,0.5890996264225072,2023-04-11 15:18:15.196112,2023-04-11 15:18:15.961172,0 days 00:00:00.765060,31,6,1,COMPLETE
88,88,0.5854387366557023,2023-04-11 15:18:15.963173,2023-04-11 15:18:16.710766,0 days 00:00:00.747593,41,8,1,COMPLETE
89,89,0.597001676816898,2023-04-11 15:18:16.713767,2023-04-11 15:18:17.437833,0 days 00:00:00.724066,53,4,1,COMPLETE
90,90,0.5555688170641359,2023-04-11 15:18:17.440835,2023-04-11 15:18:18.279459,0 days 00:00:00.838624,34,32,1,COMPLETE
91,91,0.6069779002629957,2023-04-11 15:18:18.282460,2023-04-11 15:18:19.169533,0 days 00:00:00.887073,32,4,1,COMPLETE
92,92,0.5660908922362384,2023-04-11 15:18:19.172534,2023-04-11 15:18:20.047165,0 days 00:00:00.874631,29,3,1,COMPLETE
93,93,0.5496499852398592,2023-04-11 15:18:20.050165,2023-04-11 15:18:20.842753,0 days 00:00:00.792588,38,19,1,COMPLETE
94,94,0.5964702203601727,2023-04-11 15:18:20.845755,2023-04-11 15:18:21.599814,0 days 00:00:00.754059,35,2,1,COMPLETE
95,95,0.6115464862786089,2023-04-11 15:18:21.602814,2023-04-11 15:18:22.395879,0 days 00:00:00.793065,31,4,1,COMPLETE
96,96,0.5822821408334888,2023-04-11 15:18:22.398878,2023-04-11 15:18:23.157938,0 days 00:00:00.759060,31,5,1,COMPLETE
97,97,0.5576787490276952,2023-04-11 15:18:23.160940,2023-04-11 15:18:23.922000,0 days 00:00:00.761060,27,28,1,COMPLETE
98,98,0.5891763313423641,2023-04-11 15:18:23.925001,2023-04-11 15:18:24.606561,0 days 00:00:00.681560,21,2,1,COMPLETE
99,99,0.5855595633695259,2023-04-11 15:18:24.609560,2023-04-11 15:18:25.333617,0 days 00:00:00.724057,48,6,1,COMPLETE
