,number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_learning_rate,params_momentum,params_n_layers,params_n_units_0,params_n_units_1,params_power_t,params_solver,state
39,39,0.5278986682323896,2023-04-11 16:05:17.803567,2023-04-11 16:05:40.274668,0 days 00:00:22.471101,tanh,0.14470942655712746,adaptive,0.0753820724372563,2,96,51.0,0.9000000000000001,adam,COMPLETE
40,40,0.5582547246263319,2023-04-11 16:05:40.276686,2023-04-11 16:06:00.175263,0 days 00:00:19.898577,relu,0.07255967705082836,adaptive,0.22166382512549804,2,83,42.0,0.4,adam,COMPLETE
41,41,0.5921072716558009,2023-04-11 16:06:00.178261,2023-04-11 16:06:17.737453,0 days 00:00:17.559192,relu,0.012796267557108337,adaptive,0.19775545233150443,2,61,13.0,0.8,adam,COMPLETE
42,42,0.5992763409502324,2023-04-11 16:06:17.740455,2023-04-11 16:06:33.229697,0 days 00:00:15.489242,relu,0.058031751495670594,adaptive,0.15231923035341904,2,69,11.0,0.7,adam,COMPLETE
43,43,0.5558493292111858,2023-04-11 16:06:33.231697,2023-04-11 16:06:50.386070,0 days 00:00:17.154373,relu,0.0676913068764074,adaptive,0.13774046374933832,2,50,11.0,0.9000000000000001,adam,COMPLETE
44,44,0.5297137894359893,2023-04-11 16:06:50.390072,2023-04-11 16:07:07.937477,0 days 00:00:17.547405,relu,0.1770519029085132,constant,0.1822688657675758,2,68,11.0,0.8,adam,COMPLETE
45,45,0.5,2023-04-11 16:07:07.940498,2023-04-11 16:07:39.071357,0 days 00:00:31.130859,tanh,0.06767356835580011,adaptive,0.061648027590062784,2,36,7.0,0.5,sgd,COMPLETE
46,46,0.5383506337545553,2023-04-11 16:07:39.074379,2023-04-11 16:07:56.494108,0 days 00:00:17.419729,relu,0.12123334371752241,adaptive,0.13136800361077025,2,75,26.0,0.6000000000000001,adam,COMPLETE
47,47,0.5670900746395363,2023-04-11 16:07:56.497106,2023-04-11 16:08:15.388227,0 days 00:00:18.891121,relu,0.055081142155453844,adaptive,0.10818212802219257,2,71,27.0,0.8,adam,COMPLETE
48,48,0.5224021366128622,2023-04-11 16:08:15.391227,2023-04-11 16:08:33.388355,0 days 00:00:17.997128,relu,0.15845138002154657,adaptive,0.0467903667497353,2,61,14.0,1.0,adam,COMPLETE
49,49,0.5,2023-04-11 16:08:33.392334,2023-04-11 16:09:16.753462,0 days 00:00:43.361128,relu,0.011787514905247896,constant,0.19985898383266684,2,53,69.0,0.7,sgd,COMPLETE
50,50,0.5298251929222456,2023-04-11 16:09:16.755479,2023-04-11 16:09:43.860365,0 days 00:00:27.104886,tanh,0.20398306160898028,adaptive,0.3078861113685749,2,65,79.0,0.30000000000000004,adam,COMPLETE
51,51,0.5465306776282325,2023-04-11 16:09:43.862365,2023-04-11 16:10:00.773455,0 days 00:00:16.911090,relu,0.04766625019909404,adaptive,0.2420794396446924,2,89,19.0,0.7,adam,COMPLETE
52,52,0.5761737004581217,2023-04-11 16:10:00.776457,2023-04-11 16:10:18.213814,0 days 00:00:17.437357,relu,0.013502219186075536,adaptive,0.09811891208015984,2,82,16.0,0.7,adam,COMPLETE
53,53,0.576292249841471,2023-04-11 16:10:18.215813,2023-04-11 16:10:35.797271,0 days 00:00:17.581458,relu,0.04870621380396353,adaptive,0.155782102148909,2,74,22.0,0.6000000000000001,adam,COMPLETE
54,54,0.503559091645645,2023-04-11 16:10:35.799253,2023-04-11 16:11:00.727369,0 days 00:00:24.928116,relu,0.13858546091423565,adaptive,0.23659372635238937,2,70,1.0,0.8,adam,COMPLETE
55,55,0.5569707935998179,2023-04-11 16:11:00.729349,2023-04-11 16:11:15.913197,0 days 00:00:15.183848,relu,0.08617440020554079,adaptive,0.17074255236122884,2,60,38.0,0.7,adam,COMPLETE
56,56,0.588015112140017,2023-04-11 16:11:15.915196,2023-04-11 16:11:31.406494,0 days 00:00:15.491298,relu,0.041613865931784226,adaptive,0.26668496983908907,2,79,30.0,0.6000000000000001,adam,COMPLETE
57,57,0.5354115539480178,2023-04-11 16:11:31.408493,2023-04-11 16:11:49.414407,0 days 00:00:18.005914,relu,0.13009714271883335,adaptive,0.03445651746377043,2,14,47.0,0.5,adam,COMPLETE
58,58,0.5148402919345129,2023-04-11 16:11:49.417407,2023-04-11 16:12:06.631550,0 days 00:00:17.214143,relu,0.24013291228474037,adaptive,0.30091821340228664,2,73,30.0,0.5,adam,COMPLETE
59,59,0.5853176214623107,2023-04-11 16:12:06.634549,2023-04-11 16:12:29.112300,0 days 00:00:22.477751,relu,0.05180823874268484,constant,0.10675609713457096,2,78,60.0,0.6000000000000001,adam,COMPLETE
60,60,0.5535836357923213,2023-04-11 16:12:29.114293,2023-04-11 16:12:48.447510,0 days 00:00:19.333217,relu,0.09528256827237098,adaptive,0.19536573860440476,2,56,33.0,0.5,adam,COMPLETE
61,61,0.5778900561324453,2023-04-11 16:12:48.450514,2023-04-11 16:13:08.228823,0 days 00:00:19.778309,relu,0.05032523426977488,constant,0.11819714283766408,2,78,61.0,0.6000000000000001,adam,COMPLETE
62,62,0.5814984136333206,2023-04-11 16:13:08.230827,2023-04-11 16:13:28.077209,0 days 00:00:19.846382,relu,0.04366794293282894,constant,0.1492272464154034,2,68,52.0,0.6000000000000001,adam,COMPLETE
63,63,0.5165102885099031,2023-04-11 16:13:28.079203,2023-04-11 16:13:48.874548,0 days 00:00:20.795345,relu,0.1674813242052399,constant,0.10616001448699008,2,86,56.0,0.6000000000000001,adam,COMPLETE
64,64,0.5379038353716068,2023-04-11 16:13:48.877574,2023-04-11 16:14:07.783937,0 days 00:00:18.906363,relu,0.110255707904728,constant,0.2566853983535457,2,64,7.0,0.7,adam,COMPLETE
65,65,0.576744507570512,2023-04-11 16:14:07.786919,2023-04-11 16:14:25.345512,0 days 00:00:17.558593,relu,0.04281167962911795,constant,0.2069622411820816,2,90,75.0,0.6000000000000001,adam,COMPLETE
66,66,0.547370243995817,2023-04-11 16:14:25.348513,2023-04-11 16:14:44.173401,0 days 00:00:18.824888,relu,0.09388528204117333,adaptive,0.03678773397075008,2,75,61.0,0.5,adam,COMPLETE
67,67,0.499746192893401,2023-04-11 16:14:44.176399,2023-04-11 16:15:14.917590,0 days 00:00:30.741191,relu,0.1373357275143365,adaptive,0.16945214729575475,1,79,,0.6000000000000001,sgd,COMPLETE
